Disease,Description
Hypertension,"Hypertension, or high blood pressure, is a condition where the force of blood against the artery walls is consistently too high. This can lead to serious health problems like heart disease, stroke, and kidney damage. Often called the �silent killer,� it usually has no symptoms."
Migraine,"A migraine is a severe headache characterized by intense throbbing or pulsing pain, usually on one side of the head. It is often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraines can last from hours to days and significantly impact daily activities. Some people experience warning symptoms known as auras before the headache begins. Treatment includes medications to relieve symptoms and preventive measures to reduce frequency"
Cervical spondylosis,"Cervical spondylosis is a degenerative condition affecting the cervical spine, commonly seen in people over 50. It involves the wear and tear of spinal disks and bones in the neck, leading to symptoms like neck pain, stiffness, and sometimes nerve compression. Treatment includes physical therapy, medications, and in severe cases, surgery"
Paralysis (brain hemorrhage),"Para Paralysis due to a brain hemorrhage occurs when a blood vessel in the brain bursts, causing bleeding and pressure on brain tissues. This can result in loss of muscle function and sensation in parts of the body. Immediate medical intervention is crucial to manage symptoms and prevent further damagelysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain."
Jaundice,"Jaundice is characterized by yellowing of the skin and eyes due to high bilirubin levels in the blood. It can result from liver diseases, bile duct blockages, or excessive breakdown of red blood cells. Treatment focuses on addressing the underlying cause to reduce bilirubin levels"
Malaria,"Malaria is a life-threatening disease caused by Plasmodium parasites, transmitted through the bites of infected Anopheles mosquitoes. Symptoms include high fever, chills, and flu-like illness. Prompt treatment with antimalarial medications is essential to prevent severe complications and death"
Chicken pox,"Chicken pox is a highly contagious viral infection caused by the varicella-zoster virus. It presents with an itchy rash, fever, and fatigue. While generally mild in children, it can be severe in adults and immunocompromised individuals. Vaccination is the best prevention"
Dengue,"Dengue fever is a mosquito-borne viral infection causing high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and mild bleeding. Severe cases can lead to dengue hemorrhagic fever, which can be fatal."
Typhoid,"Typhoid fever is a bacterial infection caused by Salmonella typhi, spread through contaminated food and water. Symptoms include prolonged fever, weakness, stomach pain, headache, and loss of appetite. Antibiotics are used for treatment, and vaccination can help prevent it"
hepatitis A," Hepatitis A is a viral liver infection transmitted through contaminated food and water. Symptoms include fatigue, nausea, abdominal pain, and jaundice. It usually resolves on its own, but vaccination can prevent infection"
Hepatitis B,"Hepatitis B is a serious liver infection caused by the hepatitis B virus, transmitted through contact with infectious body fluids. It can lead to chronic liver disease and liver cancer. Vaccination is the most effective prevention"
Hepatitis C,"Hepatitis C is a liver infection caused by the hepatitis C virus, spread through blood-to-blood contact. It can become chronic, leading to liver cirrhosis and cancer. Antiviral medications can cure most cases"
Hepatitis D,"Hepatitis D is a liver infection caused by the hepatitis D virus, which only occurs in those infected with hepatitis B. It can lead to more severe liver disease. Prevention involves hepatitis B vaccination"
Hepatitis E,"Hepatitis E is a liver disease caused by the hepatitis E virus, primarily spread through contaminated water. Symptoms are similar to hepatitis A, including jaundice, fatigue, and nausea. It is usually self-limiting, but can be severe in pregnant women"
Alcoholic hepatitis,"Alcoholic hepatitis is liver inflammation caused by excessive alcohol consumption. Symptoms include jaundice, abdominal pain, and fever. Treatment involves abstaining from alcohol and supportive care to manage symptoms and prevent further liver damage"
Tuberculosis," Tuberculosis (TB) is a serious infectious disease caused by the bacterium Mycobacterium tuberculosis. It primarily affects the lungs but can also impact other parts of the body. TB spreads through airborne droplets when an infected person coughs or sneezes. Symptoms include a persistent cough, chest pain, weight loss, fever, and night sweats."
Common Cold," The common cold is a viral infection of the upper respiratory tract, primarily affecting the nose and throat. It is caused by various viruses, with rhinoviruses being the most common. Symptoms include a runny or stuffy nose, sore throat, cough, sneezing, and mild fever."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus. It can be caused by bacteria, viruses, or fungi. Symptoms include cough with phlegm, fever, chills, and difficulty breathing. Pneumonia can range from mild to life-threatening, especially in infants, the elderly, and those with weakened immune systems"
Dimorphic hemmorhoids(piles),"Hemorrhoids, also known as piles, are swollen veins in the lower rectum and anus. They can be internal or external and cause symptoms like pain, itching, and rectal bleeding. Factors such as straining during bowel movements, chronic constipation, and prolonged sitting can contribute to their development. Treatment includes dietary changes, medications, and sometimes surgical procedures7"
Heart attack,"A heart attack, or myocardial infarction, occurs when blood flow to a part of the heart is blocked, usually by a blood clot. This blockage can damage or destroy part of the heart muscle. Symptoms include chest pain, shortness of breath, nausea, and lightheadedness. Immediate medical attention is crucial to restore blood flow and minimize heart damage"
Varicose veins,"Varicose veins are enlarged, twisted veins that commonly occur in the legs. They result from weakened or damaged valves in the veins, leading to blood pooling and vein enlargement. Symptoms include aching pain, swelling, and visible veins. Treatment options range from lifestyle changes and compression stockings to medical procedures like sclerotherapy and laser treatments"
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones. This can lead to symptoms like fatigue, weight gain, cold intolerance, and depression. It is commonly caused by autoimmune diseases, certain medications, or iodine deficiency. Treatment involves daily use of synthetic thyroid hormone"
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces too much thyroid hormone, leading to symptoms like weight loss, rapid heartbeat, sweating, and irritability. Causes include Graves� disease, thyroid nodules, and excessive iodine intake. Treatment options include medications, radioactive iodine therapy, and surgery"
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels. It can cause symptoms like shakiness, sweating, confusion, and in severe cases, loss of consciousness. It is often a side effect of diabetes treatment but can also occur in non-diabetics. Immediate treatment involves consuming fast-acting carbohydrates."
Osteoarthristis,"Osteoarthritis is a degenerative joint disease where the cartilage that cushions the ends of bones wears down over time. It commonly affects the knees, hips, and hands, causing pain, stiffness, and reduced mobility. Treatment includes pain relief medications, physical therapy, and sometimes joint replacement surgery."
Arthritis,"Arthritis is a general term for conditions that cause inflammation and pain in the joints. There are many types, including rheumatoid arthritis and osteoarthritis. Symptoms include joint pain, swelling, and stiffness. Treatment varies depending on the type but often includes medications, physical therapy, and lifestyle changes."
(vertigo) Paroymsal Positional Vertigo,Paroxysmal positional vertigo (PPV) is a condition that causes brief episodes of dizziness or vertigo when the position of the head is changed. It is caused by the displacement of small crystals in the inner ear. Treatment often involves specific head movements to reposition the crystals.
Acne,"Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells. It causes pimples, blackheads, and cysts, primarily on the face, chest, and back. Factors include hormonal changes, bacteria, and genetics. Treatment includes topical and oral medications to reduce oil production and inflammation."
Urinary tract infection," A UTI is an infection in any part of the urinary system, including the kidneys, bladder, and urethra. Symptoms include a strong urge to urinate, burning sensation during urination, and cloudy urine. UTIs are more common in women and are treated with antibiotics."
Psoriasis,"Psoriasis is a chronic autoimmune condition that causes rapid skin cell turnover, leading to thick, red, scaly patches on the skin. It can be triggered by infections, stress, and cold weather. Treatment includes topical treatments, phototherapy, and systemic medications to reduce inflammation and slow skin cell growth."
Impetigo,"Impetigo is a highly contagious bacterial skin infection that commonly affects children. It causes red sores that rupture, ooze, and form a yellow-brown crust. It is usually caused by Staphylococcus aureus or Streptococcus pyogenes. Treatment involves antibiotics to clear the infection."
